Sample_ID,Location,Site_Name,Site_ID,Lat,Long,Sampling_Date,Sampling_Time,Timezone,USGS_siteno,Avg_WaterTemp_degC,Avg_pH,Avg_SpecConductance (uS/cm),DO (%),DO (mg/L),Barometric Pressure,Depth (Meters),pH mV,Battery volts,Turbidity,Chlorophyll RFU,Chlorophyll ug/L,fDOM QSU,fDOM RFU,ORP mV,TAL PC RFU,TAL PC ug/L,Wiper Position volt,B-G Algae mg/L,Nitrate mg/L,fCHL,Secchi Depth,BGA-PC ug/L,Phyco-cyanin ug/L,Discharge (cu.ft/s),Notes
Odell,"Deschutes River, OR",Odell Lake at Sunset Cove,Odell,43.5624,-121.9647,7/13/2022,8:00:00 AM,PDT,n/a,16.79,7.39,36.63,95.45,7.71,634.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Conductance and Barometric are from ProDSS, all other parameters are from EXO3. Duplicate taken at 8:01 am. Averaged from 6 samples. Arrived 071422 cold with ice melted."
Salem,Delaware River Basin,USGS 01482500 Salem River at Woodstown NJ,Salem,39.64415,-75.33028,7/11/2022,1:20:00 PM,EDT,1482500,29.85,8.23,264.73,157.67,11.84,759.4333333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Duplicate taken at 2:10 PM EDT, Averaged from 6 samples. "
LL,Illinois River Basin,Long Lake at Ben Dock,LL,42.378403,-88.13346,7/13/2022,10:50:00 AM,CDT,423784088133401,25.12,8.38,894,138.2,11.36,740.9,n/a,n/a,n/a,17.66,n/a,13.76,n/a,n/a,n/a,n/a,n/a,n/a,3.92,0.4,n/a,n/a,n/a,n/a,n/a,"No readings for duplicate sample, only one reading for primary sample. "
SR,Illinois River Basin,"USGS 05553700 Illinois River at Starved Rock, IL ",SR,41.3247564,-88.9839693,6/28/2022,3:30:00 PM,CDT,5553700,28,8.6,669.33,184.67,14.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Averaged from 6 samples. 
BM,CO River Basin - Iola,"Blue Mesa Reservoir Near Sapinero, CO.",BM,38.4782,-107.10744,8/9/2022,10:20:00 AM,MDT,9124600,22.38,8.9,235.51,124.5,10.79,586.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Specific Conductance meter not working correctly - used corrected values but may still be a little off, but more accurate than initial readings. Duplicate sampling time at 10:25, averaged from 12 readings. Arrived 081122 a few hours late and delayed due to construction, cold but ice all melted, 1 sample site plus 3 dupes"
LB_A_01,"Clackamas River, OR",Lazy Bend A,LB A,45.1903361,-122.7912331,6/8/2022,11:40:00 AM,PDT,n/a,10.8,7.8,41,105,11.63,744,0.1,n/a,n/a,0.7,n/a,0.4,0.2,9.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3 samples - A=susp Draparnaldia; B= suspect green algae; C=suspect diatoms
LB_B_01,"Clackamas River, OR",Lazy Bend B,LB B,45.1903361,-122.7912331,6/8/2022,11:30:00 AM,PDT,n/a,10.8,7.8,41,105,11.63,744,0.1,n/a,n/a,0.7,n/a,0.4,0.2,9.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3 samples - A=susp Draparnaldia; B= suspect green algae; C=suspect diatoms
LB_C_01,"Clackamas River, OR",Lazy Bend C,LB C,45.1903361,-122.7912331,6/8/2022,11:35:00 AM,PDT,n/a,10.8,7.8,41,105,11.63,744,0.1,n/a,n/a,0.7,n/a,0.4,0.2,9.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3 samples - A=susp Draparnaldia; B= suspect green algae; C=suspect diatoms
CR_E4816_01,Willamette River Basin - McKenzie River,Cougar Reservoir at dam,CR E4816,44.12736,-122.243422,6/13/2022,8:20:00 AM,PDT,n/a,11.82,7.62,30.36,102.94,10.98,n/a,n/a,-59.51885714,5.146285714,0.827771429,0.286857143,1.203314286,7.217942857,2.724914286,316.1657143,-0.006971429,0.001885714,1.199,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Surface grab with net-tow samples collected with pole from shoreline
BRE_E5411_01,Willamette River Basin - McKenzie River,Blue River campground east,BRE E5411,44.204434,-122.261993,6/13/2022,9:30:00 AM,PDT,n/a,16.57,7.36,31.12,101.92,9.8,n/a,n/a,-45.09941176,5.135529412,0.542411765,0.214117647,0.906352941,4.158411765,1.650529412,313.1247059,0.066764706,0.076588235,1.201,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Net-tow* sample collected from boat dock. *Net-tow samples at E5411 and E548 were composited into a single bottle
BRW_E548_01,Willamette River Basin - McKenzie River,Blue River dam west,BRW E548,44.173787,-122.329685,6/13/2022,10:10:00 AM,PDT,n/a,14.99,7.46,31.81,101.22,10.07,n/a,n/a,-50.7840708,5.252389381,0.353097345,0.392566372,1.632477876,5.379026549,2.079380531,302.9283186,0.036725664,0.046283186,1.200982301,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Surface grab with net-tow* samples collected with pole from shoreline. *Net-tow samples at E5411 and E548 were composited into a single bottle
BR_Comb_01,Willamette River Basin - McKenzie River,Blue River campground east and Blue River dam west,BR_Comb,44.173787,-122.329685,6/13/2022,10:10:00 AM,PDT,n/a,14.99,7.46,31.81,101.22,10.07,n/a,n/a,-50.7840708,5.252389381,0.353097345,0.392566372,1.632477876,5.379026549,2.079380531,302.9283186,0.036725664,0.046283186,1.200982301,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Sample type: Surface grab with net-tow* samples collected with pole from shoreline. *Net-tow samples at E5411 and E548 were composited into a single bottle. Combined east and west sample: sampling times, coordinates, and water data listed for west end sample. "
CR_E4816_02,Willamette River Basin - McKenzie River,Cougar Reservoir at dam,CR E4816,44.12736,-122.243422,7/11/2022,10:10:00 AM,PDT,n/a,20.51,8.99,36.13,106.88,108.7,n/a,n/a,-135.6902655,4.625663717,1.06539823,1.461150442,5.945132743,3.369823009,1.110707965,216.4460177,0.079557522,0.056106195,1.181,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Net-tow sample collected with pole from shoreline. 
BRW_E548_02,Willamette River Basin - McKenzie River,Blue River dam west,BRW E548,44.173787,-122.329685,7/11/2022,8:10:00 AM,PDT,n/a,22.12,7.86,33.68,102.4,104.15,n/a,n/a,-71.13253968,4.623015873,0.312936508,0.233095238,0.941587302,2.805793651,0.933650794,257.747619,0.051190476,0.026587302,1.181,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Net-tow sample collected with pole from shoreline.
CR_E4816_03,Willamette River Basin - McKenzie River,Cougar Reservoir at dam,CR E4816,44.12736,-122.243422,7/25/2022,9:05:00 AM,PDT,n/a,21.74,7.8,39.33,96.28,8.31,n/a,n/a,-61.2760479,5.731377246,0.526107784,0.099281437,0.415628743,2.536586826,0.79502994,199.3233533,-0.02257485,-0.044550898,1.193,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Net-tow sample collected with pole from shoreline. 
BRE_E5411_02,Willamette River Basin - McKenzie River,Blue River campground east,BRE E5411,44.204434,-122.261993,7/25/2022,10:00:00 AM,PDT,n/a,23.38,7.21,35.64,91.85,7.68,n/a,n/a,-27.87628866,5.73443299,0.406082474,0.410412371,1.686082474,4.27185567,1.317628866,209.7030928,-0.117113402,-0.141546392,1.192,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Net-tow* sample collected from boat dock. * Two net-tow samples for Blue River Reservoir were collected; a composite of E5411 and E548 and a sample from just E548.
BRW_E548_03,Willamette River Basin - McKenzie River,Blue River dam west,BRW E548,44.173787,-122.329685,7/25/2022,10:40:00 AM,PDT,n/a,23.61,7.9,34.86,104.26,8.68,n/a,n/a,-66.98588957,5.697852761,0.203067485,0.145276074,0.602576687,3.129447853,0.973374233,186.0815951,-0.205030675,-0.231042945,1.191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sample type: Net-tow* samples collected with pole from shoreline. * Two net-tow samples for Blue River Reservoir were collected; a composite of E5411 and E548 and a sample from just E548.
BR_Comb_02,Willamette River Basin - McKenzie River,Blue River campground east and Blue River dam west,BR_Comb,44.173787,-122.329685,7/25/2022,10:40:00 AM,PDT,n/a,23.61,7.9,34.86,104.26,8.68,n/a,n/a,-66.98588957,5.697852761,0.203067485,0.145276074,0.602576687,3.129447853,0.973374233,186.0815951,-0.205030675,-0.231042945,1.191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Sample type: Net-tow* samples collected with pole from shoreline. * Two net-tow samples for Blue River Reservoir were collected; a composite of E5411 and E548 and a sample from just E548. Combined east and west sample: sampling times, coordinates, and water data listed for west end sample. "
LT_P5,"Leetown, WV",Leetown Pond 5,LT P5,39.35391,-77.9344,7/19/2022,1:48:00 PM,EDT,n/a,31.18,9.41,99.1,n/a,9.62,746.2,n/a,n/a,n/a,0.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.27,secchi max visible,n/a,n/a,n/a,
LT_P6,"Leetown, WV",Leetown Pond 6,LT P6,39.35451,-77.9349,7/19/2022,1:38:00 PM,EDT,n/a,30.5,9.42,110,n/a,10.33,746.3,n/a,n/a,n/a,0.79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.75,secchi max visible,n/a,n/a,n/a,
LT_P8,"Leetown, WV",Leetown Pond 8,LT P8,39.354,-77.9351,7/19/2022,1:28:00 PM,EDT,n/a,30.88,9.15,110.9,n/a,9.18,746.4,n/a,n/a,n/a,0.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.42,secchi max visible,n/a,n/a,n/a,
LT_P13,"Leetown, WV",Leetown Pond 13,LT P13,39.35348,-77.9351,7/19/2022,1:22:00 PM,EDT,n/a,30.32,9.55,270.7,n/a,11.5,746.3,n/a,n/a,n/a,6.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.04,1,n/a,n/a,n/a,
LT_P15,"Leetown, WV",Leetown Pond 15,LT P15,39.35097,-77.9357,7/19/2022,12:58:00 PM,EDT,n/a,28.42,8.08,941,n/a,8.37,746.8,n/a,n/a,n/a,36.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.44,secchi max visible,n/a,n/a,n/a,
LT_P17,"Leetown, WV",Leetown Pond 17,LT P17,39.35062,-77.9357,7/19/2022,12:44:00 PM,EDT,n/a,29.36,8.74,340.7,n/a,12.53,746.5,n/a,n/a,n/a,2.85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.23,0.5,n/a,n/a,n/a,
LT_P19,"Leetown, WV",Leetown Pond 19,LT P19,39.35169,-77.9355,7/19/2022,1:08:00 PM,EDT,n/a,30.8,9.85,251.5,n/a,14.59,746.7,n/a,n/a,n/a,7.43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.71,0.6,n/a,n/a,n/a,
LT_URSP,"Leetown, WV",Leetown Upper Retention Settling Pond,LT URSP,39.35292,-77.9345,7/19/2022,2:08:00 PM,EDT,n/a,31.17,8.39,323,n/a,12.75,746.4,n/a,n/a,n/a,6.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.46,secchi max visible,n/a,n/a,n/a,
LT_RA-1,"Leetown, WV",Leetown Reservoir A-1,LT RA-1,39.35087,-77.9264,7/20/2022,10:19:00 AM,EDT,n/a,25.84,7.89,572,n/a,11.79,745.1,n/a,n/a,n/a,3.34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.61,secchi max visible,n/a,n/a,n/a,
LT_RA-3,"Leetown, WV",Leetown Reservoir A-3,LT RA-3,39.34967,-77.9286,7/20/2022,12:03:00 PM,EDT,n/a,30.16,8.14,411.3,n/a,12.61,744.5,n/a,n/a,n/a,3.94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.53,secchi max visible,n/a,n/a,n/a,"Two collections made, one at shore and another 1.5 meters from shore on a pole."
GP_Drap,"McKenzie River, OR",Good Pasture_Draparnaldia,GP_Drap,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
GP_Spiro,"McKenzie River, OR",Good Pasture_Spirogyra,GP_Spiro,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
GP_Nost,"McKenzie River, OR",Good Pasture_Nostoc,GP_Nost,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
GP_Phorm,"McKenzie River, OR",Good Pasture_PhormidiumCyanoB,GP_Phorm,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
GP_Pras,"McKenzie River, OR",Good Pasture_Prasiola,GP_Pras,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
GP_Stalk,"McKenzie River, OR",Good Pasture_StalkedDiatoms,GP_Stalk,44.146269,-121.411217,6/29/2022,12:00:00 PM,PDT,n/a,13,7.5,47.2,104.5,11,n/a,n/a,n/a,n/a,0.5,n/a,0.2,n/a,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,"Samples were labeled as taxa, not numbers. "
FR_A,"McKenzie River, OR","USGS 14162500 Mckenzie River Near Vida, OR",FR_A,44.129183,-122.379856,8/23/2022,5:47:00 PM,PDT,14162500,16,8.1,52,106,10.1,n/a,n/a,n/a,n/a,0.3,n/a,0.6,n/a,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.11,2360,"Data collected close to sonde site, McKenzie R at Vida, OR (14162500)"
FR_B,"McKenzie River, OR","USGS 14162500 Mckenzie River Near Vida, OR",FR_B,44.129183,-122.379856,8/23/2022,5:47:00 PM,PDT,14162500,16,8.1,52,106,10.1,n/a,n/a,n/a,n/a,0.3,n/a,0.6,n/a,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.11,2360,"Data collected close to sonde site, McKenzie R at Vida, OR (14162500)"
GP_C,"McKenzie River, OR","USGS 440847122352000 Mckenzie River BLW Goodpasture Bridge, NR Vida, OR",GP_C,44.146269,-122.588783,8/23/2022,5:06:00 PM,PDT,440847122352000,15.8,8.1,51,107,10.3,n/a,n/a,n/a,n/a,0.3,n/a,0.5,n/a,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,2370,
GP_D,"McKenzie River, OR","USGS 440847122352000 Mckenzie River BLW Goodpasture Bridge, NR Vida, OR",GP_D,44.146269,-122.588783,8/23/2022,5:06:00 PM,PDT,440847122352000,15.8,8.1,51,107,10.3,n/a,n/a,n/a,n/a,0.3,n/a,0.5,n/a,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,2370,
SF_E,"McKenzie River, OR","USGS 14159500 South Fork Mckenzie River Near Rainbow, OR",SF_E,44.136111,-122.247222,8/23/2022,6:22:00 PM,PDT,14159500,14.7,7.5,38,101,9.9,n/a,n/a,n/a,n/a,0.3,n/a,0.5,n/a,6.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.02,240,
FB_F,"McKenzie River, OR","USGS 14158850 Mckenzie R BLW Trail BR Dam NR Belknap Springs, OR",FB_F,44.205428,-122.040147,8/23/2022,6:52:00 PM,PDT,14158850,9.9,7.6,52,103,10.8,n/a,n/a,n/a,n/a,0.1,n/a,1.8,n/a,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.66,628,"Data collected close to sonde site, McKenzie R. blw Trail Br Dam nr Belknap Springs, OR (14158850)"
FRRA_G,"McKenzie River, OR",Finn Rock Restoration area,FRRA_G,44.142939,-122.368061,8/23/2022,11:22:00 AM,PDT,n/a,13.6,7.6,53.5,n/a,10.1,n/a,n/a,n/a,n/a,0.42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,small channels,Data collected about half mile upstream from sonde
FRRA_H,"McKenzie River, OR",Finn Rock Restoration area,FRRA_H,44.142939,-122.368061,8/23/2022,11:22:00 AM,PDT,n/a,13.6,7.6,53.5,n/a,10.1,n/a,n/a,n/a,n/a,0.42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,small channels,Data collected about half mile upstream from sonde
GP_2,"McKenzie River, OR","USGS 440847122352000 Mckenzie River BLW Goodpasture Bridge, NR Vida, OR",GP_2,44.146269,-122.588783,8/24/2022,1:05:00 PM,PDT,440847122352000,14.1,8,52,108,10.8,n/a,n/a,n/a,n/a,0.4,n/a,0.5,n/a,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,2360,"Vials were labeled 2,3,4, no GP 1"
GP_3,"McKenzie River, OR","USGS 440847122352000 Mckenzie River BLW Goodpasture Bridge, NR Vida, OR",GP_3,44.146269,-122.588783,8/24/2022,1:15:00 PM,PDT,440847122352000,14.1,8,52,108,10.8,n/a,n/a,n/a,n/a,0.4,n/a,0.5,n/a,3.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,2360,"Vials were labeled 2,3,4, no GP 1"
GP_4,"McKenzie River, OR","USGS 440847122352000 Mckenzie River BLW Goodpasture Bridge, NR Vida, OR",GP_4,44.146269,-122.588783,8/24/2022,1:20:00 PM,PDT,440847122352000,14.4,8.1,52,108,10.7,n/a,n/a,n/a,n/a,0.3,n/a,0.4,n/a,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,2340,"Vials were labeled 2,3,4, no GP 1"
